ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
Z77.29,876,158,3.6186496349431274e-09,1.4458073786911963e-09
R07.9,438,181,1.8093248174715637e-09,1.6562730097664971e-09
M46.1,792,331,3.2716558343321427e-09,3.0288749515619366e-09
M17.11,1112,992,4.593536979516847e-09,9.07747417507384e-09
E10.40,122,130,5.039671866016684e-10,1.1895883495560477e-09
B02.23,103,44,4.2548049360632665e-10,4.0262990292666226e-10
C44.311,1,1,4.1308785787022006e-12,9.150679611969598e-12
M54.30,1377,966,5.68821980287293e-09,8.83955650516263e-09
M54.32,1406,609,5.8080152816552935e-09,5.5727638836894845e-09
M54.40,8291,1899,3.4249114296019944e-08,1.7377140583130266e-08
M54.9,33794,14290,1.3959891068866216e-07,1.3076321165504553e-07
M62.81,340,89,1.4044987167587481e-09,8.144104854652941e-10
M62.830,1301,626,5.374273030891563e-09,5.728325437092968e-09
S09.90XS,6,4,2.4785271472213203e-11,3.660271844787839e-11
S22.000A,6,8,2.4785271472213203e-11,7.320543689575678e-11
S06.9X9S,4,0,1.6523514314808802e-11,0.0
S33.6XXS,258,55,1.0657666733051676e-09,5.032873786583279e-10
R20.8,35,31,1.4458075025457702e-10,2.836710679710575e-10
R52.,13042,30071,5.38749184234341e-08,2.7517008661153777e-07
R10.9,970,371,4.0069522213411345e-09,3.3949021360407206e-09
S43.421D,9,17,3.7177907208319803e-11,1.5556155340348316e-10
S46.022A,2,0,8.261757157404401e-12,0.0
S46.101S,2,0,8.261757157404401e-12,0.0
S46.012D,24,10,9.914108588885281e-11,9.150679611969597e-11
S63.609S,1,0,4.1308785787022006e-12,0.0
S46.201S,2,0,8.261757157404401e-12,0.0
S46.012S,20,11,8.2617571574044e-11,1.0065747573166556e-10
S43.432A,14,3,5.7832300101830805e-11,2.7452038835908793e-11
S62.309A,1,0,4.1308785787022006e-12,0.0
S43.422A,9,3,3.7177907208319803e-11,2.7452038835908793e-11
S46.211S,6,0,2.4785271472213203e-11,0.0
S46.012A,42,48,1.7349690030549242e-10,4.392326213745407e-10
S46.921S,2,0,8.261757157404401e-12,0.0
S43.90XS,9,0,3.7177907208319803e-11,0.0
S43.401S,8,0,3.3047028629617605e-11,0.0
S43.82XS,5,0,2.0654392893511e-11,0.0
S64.11XA,3,0,1.2392635736106602e-11,0.0
S43.421A,27,5,1.115337216249594e-10,4.5753398059847985e-11
S66.301A,1,0,4.1308785787022006e-12,0.0
S76.312S,8,0,3.3047028629617605e-11,0.0
S76.311A,9,4,3.7177907208319803e-11,3.660271844787839e-11
S72.435G,1,0,4.1308785787022006e-12,0.0
S76.311D,7,2,2.8916150050915402e-11,1.8301359223939195e-11
S76.111A,3,0,1.2392635736106602e-11,0.0
S76.212D,4,0,1.6523514314808802e-11,0.0
S66.991A,3,0,1.2392635736106602e-11,0.0
S76.312A,6,4,2.4785271472213203e-11,3.660271844787839e-11
S82.64XA,1,1,4.1308785787022006e-12,9.150679611969598e-12
S93.401A,6,21,2.4785271472213203e-11,1.9216427185136153e-10
S92.135S,1,0,4.1308785787022006e-12,0.0
Z71.0,6,4,2.4785271472213203e-11,3.660271844787839e-11
T84.50XS,1,0,4.1308785787022006e-12,0.0
Z75.9,0,4,0.0,3.660271844787839e-11
Z71.89,936,13021,3.866502349665259e-09,1.1915099922745613e-07
Z51.89,19,615,7.848669299534181e-11,5.627667961361303e-09
F06.4,50,11,2.0654392893511e-10,1.0065747573166556e-10
B36.0,1,1,4.1308785787022006e-12,9.150679611969598e-12
F33.2,377,207,1.5573412241707296e-09,1.8941906796777066e-09
F33.3,79,37,3.2633940771747383e-10,3.3857514564287507e-10
F33.41,161,92,6.650714511710543e-10,8.418625243012029e-10
F34.1,151,77,6.237626653840323e-10,7.04602330121659e-10
G89.4,46457,27469,1.9190822613076812e-07,2.513600182611929e-07
G99.0,541,307,2.2348053110778904e-09,2.809258640874666e-09
H40.9,13,3,5.3701421523128606e-11,2.7452038835908793e-11
H53.2,42,4,1.7349690030549242e-10,3.660271844787839e-11
H57.11,30,16,1.23926357361066e-10,1.4641087379151356e-10
H81.399,61,12,2.519835933008342e-10,1.0980815534363517e-10
H93.11,59,11,2.437218361434298e-10,1.0065747573166556e-10
H93.19,555,240,2.2926376111797212e-09,2.1961631068727035e-09
I10.,1360,2109,5.6179948670349925e-09,1.929878330164388e-08
I11.9,50,40,2.0654392893511e-10,3.660271844787839e-10
I48.0,24,70,9.914108588885281e-11,6.405475728378718e-10
I48.91,66,94,2.726379861943452e-10,8.601638835251421e-10
I50.9,43,48,1.7762777888419461e-10,4.392326213745407e-10
J00.,14,2,5.7832300101830805e-11,1.8301359223939195e-11
J01.90,69,14,2.850306219304518e-10,1.2810951456757437e-10
J30.2,80,10,3.30470286296176e-10,9.150679611969597e-11
J30.9,408,76,1.6853984601104976e-09,6.954516505096894e-10
J32.8,157,28,6.485479368562454e-10,2.5621902913514875e-10
J44.0,23,1,9.501020731015061e-11,9.150679611969598e-12
J44.9,942,373,3.891287621137473e-09,3.41320349526466e-09
J45.20,21,12,8.674845015274621e-11,1.0980815534363517e-10
J45.909,95,54,3.92433464976709e-10,4.941366990463583e-10
J66.2,3,0,1.2392635736106602e-11,0.0
K02.7,8,3,3.3047028629617605e-11,2.7452038835908793e-11
R55.,37,32,1.528425074119814e-10,2.928217475830271e-10
R43.0,89,18,3.6764819350449586e-10,1.6471223301545275e-10
